date,AAPL,MSFT,FB,AMZN,JNJ,XOM,BRK-B,JPM,GOOGL,GOOG,SPX
2012-06-01,560.99,28.45,27.72,208.22,61.78,77.92,79.02,31.93,570.98,570.981,1278.04
2012-06-04,564.29,28.55,26.9,214.57,62.34,77.83,79.04,31.0,578.59,578.591,1278.1801
2012-06-05,562.83,28.505,25.869,213.21,62.21,77.6,79.12,31.99,570.41,570.411,1285.5
2012-06-06,571.46,29.35,26.81,217.64,62.8,80.18,80.68,33.07,580.57,580.571,1315.13
2012-06-07,571.72,29.23,26.31,218.8,62.8,80.69,80.66,32.81,578.23,578.231,1314.99
2012-06-08,580.32,29.65,27.1,218.48,62.98,80.84,81.36,33.68,580.45,580.451,1325.66
2012-06-11,571.17,28.895,27.005,216.5,62.12,80.27,80.28,32.82,568.5,568.501,1308.9301
2012-06-12,576.16,29.29,27.4,216.42,63.08,81.26,81.26,33.77,565.1,565.1009,1324.1801
2012-06-13,572.16,29.13,27.27,214.73,64.45,80.63,80.59,34.3,561.09,561.091,1314.88
2012-06-14,571.53,29.34,28.29,214.45,65.45,82.13,81.72,34.65,559.05,559.0509,1329.1
2012-06-15,574.13,30.02,30.014,218.35,66.01,83.22,82.57,35.03,564.51,564.511,1342.84
2012-06-18,585.78,29.84,31.41,222.66,66.3,83.11,82.15,34.62,570.85,570.851,1344.78
2012-06-19,587.41,30.7,31.910999999999998,224.03,66.72,84.48,82.98,35.38,581.53,581.531,1357.98
2012-06-20,585.741,30.93,31.6,223.02,67.0,84.97,82.46,36.45,577.51,577.511,1355.6899
2012-06-21,577.67,30.135,31.84,220.575,66.39,82.11,81.19,35.51,565.21,565.211,1325.51
2012-06-22,582.1,30.7,33.05,222.16,66.63,82.11,81.87,35.99,571.48,571.481,1335.02
2012-06-25,570.765,29.865,32.06,220.07,66.5,81.24,80.47,35.32,560.7,560.701,1313.72
2012-06-26,572.025,30.02,33.1,225.61,66.42,82.4,81.33,35.71,564.68,564.681,1319.99
2012-06-27,574.5,30.17,32.23,225.62,66.84,83.2,81.98,36.78,569.3,569.3009999999999,1331.85
2012-06-28,569.05,29.91,31.36,221.31,66.94,83.1,82.34,35.88,564.31,564.3109,1329.04
2012-06-29,584.0,30.59,31.095,228.35,67.56,85.57,83.33,35.73,580.07,580.071,1362.16
2012-07-02,592.52,30.56,30.771,229.32,68.0,85.34,83.65,36.28,580.47,580.471,1365.51
2012-07-03,599.41,30.76,31.2,229.53,68.04,86.28,83.78,35.88,587.83,587.831,1374.02
2012-07-05,609.94,30.7,31.47,227.06,67.78,85.57,83.22,34.38,595.92,595.9209999999999,1367.58
2012-07-06,605.88,30.185,31.73,225.05,67.64,84.8,82.54,33.9,585.98,585.981,1354.6801
2012-07-09,613.89,30.0,32.17,225.05,67.78,83.65,83.39,33.96,586.01,586.011,1352.46
2012-07-10,608.21,29.74,31.47,219.5,67.88,83.11,83.05,34.25,581.7,581.701,1341.47
2012-07-11,604.43,29.3,30.97,218.37,67.9,84.38,84.09,34.59,571.19,571.191,1341.45
2012-07-12,598.9,28.63,30.81,215.36,67.71,84.12,83.54,34.04,570.48,570.481,1334.76
2012-07-13,604.97,29.39,30.72,218.39,68.61,85.47,84.48,36.07,576.52,576.521,1356.78
2012-07-16,606.91,29.44,28.245,216.01,68.45,85.05,83.98,35.09,574.92,574.9209999999999,1353.64
2012-07-17,606.94,29.66,28.09,216.93,69.0,85.73,85.19,34.99,576.73,576.731,1363.67
2012-07-18,606.26,30.45,29.11,217.47,69.37,86.21,84.98,34.96,580.76,580.761,1372.78
2012-07-19,614.32,30.665,29.0,226.17,69.53,86.21,84.63,34.46,593.06,593.061,1376.51
2012-07-20,604.3,30.115,28.76,228.29,68.63,85.95,83.83,33.9,610.82,610.8211,1362.66
2012-07-23,603.83,29.28,28.75,226.01,68.11,85.21,83.59,34.44,615.51,615.5111,1350.52
2012-07-24,600.92,29.15,28.45,223.04,67.35,84.58,83.7,34.73,607.57,607.5711,1338.3101
2012-07-25,574.97,28.83,29.34,217.05,67.53,85.24,84.04,35.17,607.99,607.991,1337.89
2012-07-26,574.88,29.16,26.845,220.01,68.74,86.52,84.67,35.81,613.36,613.3611,1360.02
2012-07-27,585.16,29.755,23.705,237.32,69.52,87.45,85.2,36.89,634.96,634.9611,1385.97
2012-07-30,595.03,29.64,23.15,236.09,69.45,87.56,85.23,36.14,632.3,632.3011,1385.3
