date,AAPL,MSFT,AMZN,JNJ,XOM,BRK-B,JPM,GOOGL,GOOG,SPX
2005/1/3,63.29,26.74,44.52,62.9,50.09,2899,39.15,202.71,202.7104,1202.08
2005/1/4,63.94,26.84,42.14,62.7,49.75,2855,38.41,194.5,194.5003,1188.05
2005/1/5,64.5,26.78,41.77,62.66,49.49,2860,38.49,193.51,193.5103,1183.74
2005/1/6,64.55,26.75,41.05,62.84,50.12,2874,38.71,188.55,188.5503,1187.89
2005/1/7,69.25,26.67,42.32,62.61,49.79,2918.9,38.4,193.85,193.8503,1186.1899
2005/1/10,68.96,26.8,41.84,63.1,49.98,2926,38.27,195.06,195.0603,1190.25
2005/1/11,64.56,26.73,41.64,62.88,49.85,2876.5,37.9,193.54,193.5403,1182.99
2005/1/12,65.46,26.78,42.3,63.32,50.59,2876,37.99,195.38,195.3803,1187.7
2005/1/13,69.8,26.27,42.6,61.97,50.55,2870,37.77,195.33,195.3303,1177.45
2005/1/14,70.2,26.12,44.55,62.7,51.07,2863.5,37.81,199.97,199.9703,1184.52
2005/1/18,70.65,26.32,44.58,63.03,51.5,2889.99,38.4,203.9,203.9003,1195.98
2005/1/19,69.88,25.98,43.96,62.82,51.05,2888.99,37.84,197.3,197.3003,1184.63
2005/1/20,70.46,25.86,42.36,62.49,50.72,2918,37.25,193.92,193.9203,1175.41
2005/1/21,70.49,25.65,41.16,61.85,50.44,3004.5,36.85,188.28,188.2803,1167.87
2005/1/24,70.76,25.67,40.38,61.49,51.13,3000,36.88,180.72,180.7203,1163.75
2005/1/25,72.05,26.02,40.94,63.72,51.33,2984.9,36.86,177.12,177.1203,1168.41
2005/1/26,72.25,26.01,41.34,64.65,51.7,2964.01,36.83,189.24,189.2403,1174.0699
2005/1/27,72.64,26.11,42.31,64.22,51.75,2942,36.75,188.08,188.0803,1174.55
2005/1/28,73.98,26.18,42.22,64.62,51.27,3000,37,190.34,190.3403,1171.36
2005/1/31,76.9,26.28,43.22,64.7,51.6,2994.11,37.33,195.62,195.6203,1181.27
2005/2/1,77.53,26.39,42.48,65.42,53.27,3017,37.5,191.9,191.9003,1189.41
2005/2/2,79.63,26.46,41.88,66,53.93,3004,37.52,205.96,205.9603,1193.1899
2005/2/3,77.81,26.18,35.75,65.65,54.52,3004,37.39,210.86,210.8604,1189.89
2005/2/4,78.84,26.32,35.72,66.24,55.29,3024.5,37.69,204.36,204.3603,1203.03
2005/2/7,78.94,26.16,35.69,66.45,55.4,3043,37.97,196.03,196.0303,1201.72
2005/2/8,80.9,26.24,36.3,66.33,55.78,3036,37.76,198.64,198.6403,1202.3
